@MENU_NONE,,,
@MENU_FIRE_WEAPON,+attack,BUTTON_RTRIG,
@MENU_AIM_DOWN_SIGHT,+speed_throw,BUTTON_LTRIG,
@MENU_USE_EQUIPMENT,+frag,BUTTON_RSHLDR,
@MENU_THROW_SPECIAL_GRENADE,+smoke,BUTTON_LSHLDR,
@MENU_MELEE_CHANGE_ZOOM,+melee_zoom,BUTTON_RSTICK,
@MENU_SPRINT_HOLD_BREATH,+breath_sprint,BUTTON_LSTICK,
@MENU_JUMP,+gostand,BUTTON_A,
@MENU_CROUCH_PRONE,+stance,BUTTON_B,
@MENU_USE_RELOAD,+usereload,BUTTON_X,
@MENU_SWITCH_WEAPON,+weapnext,BUTTON_Y,
@MENU_UNDERBARREL,+actionslot 3,DPAD_LEFT,
@MENU_SCORESTREAK_UP,+actionslot 1,DPAD_UP,
@MENU_SCORESTREAK_USE,+actionslot 4,DPAD_RIGHT,
@MENU_SCORESTREAK_DOWN,+actionslot 2,DPAD_DOWN,
@MENU_SCOREBOARD,togglescores,BUTTON_BACK,
@MENU_OBJECTIVES_MENU,togglemenu,BUTTON_START,
@MENU_SPRINT,+sprint_zoom,,
@MENU_MELEE_HOLD_BREATH,+melee_breath,,
@MENU_TOGGLE_AIM_DOWN_SIGHT,+ads_akimbo_accessible,,
@MENU_FIRE_BOTH_AKIMBO,+attack_akimbo_accessible,,
Total_Actions,Total_Actions,,
